,details,link
"<li><a href = ""../pdf/Notifications/NOTI_AP_NURS_DEMO_NURS_2021_04052022.pdf"" target ='_' > NOTIFICATION - ASSISTANT PROFESSOR (NURSING) AND DEMONSTRATOR (NURSING) -2021 (04-05-2022) </li>",NOTIFICATION - ASSISTANT PROFESSOR (NURSING) AND DEMONSTRATOR (NURSING) -2021 (04-05-2022) ,../pdf/Notifications/NOTI_AP_NURS_DEMO_NURS_2021_04052022.pdf
"<li><a href = ""../pdf/Notifications/Exam_Sch_SSME_2021_04052022.pdf"" target ='_' > EXAM SCHEDULE - STATE SERVICE (MAINS) EXAMINATION -2021 (04-05-2022) </li>",EXAM SCHEDULE - STATE SERVICE (MAINS) EXAMINATION -2021 (04-05-2022) ,../pdf/Notifications/Exam_Sch_SSME_2021_04052022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_INT_SCH_VC_2022_04052022.pdf"" target ='_' > NOTIFICATION FOR INTERVIEW OF VISHESHGYA CHIKITSHAK (AYUSH WING/THERAPY CENTER) -2022 (04-05-2022)</li>",NOTIFICATION FOR INTERVIEW OF VISHESHGYA CHIKITSHAK (AYUSH WING/THERAPY CENTER) -2022 (04-05-2022),../pdf/Notifications/NOTI_INT_SCH_VC_2022_04052022.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_VC_2022_04052022.pdf"" target ='_' > INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -VISHESHGYA CHIKITSHAK -2022 </li>",INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -VISHESHGYA CHIKITSHAK -2022 ,../pdf/Notifications/INT_SCH_VC_2022_04052022.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_VC_2022_04052022.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_VC_2022_04052022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_INTV_DEMO_PHY_2021_02052022.pdf"" target ='_' > NOTIFICATION FOR INTERVIEW OF DEMONSTRATOR PHYSIOTHERAPY-2021 (02-05-2022)</li>",NOTIFICATION FOR INTERVIEW OF DEMONSTRATOR PHYSIOTHERAPY-2021 (02-05-2022),../pdf/Notifications/NOTI_INTV_DEMO_PHY_2021_02052022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_DV_SCH_DEMOPHY_TO_2021_13042022.pdf"" target ='_' > NOTIFICATION ABOUT DOCUMENT VERIFICATION OF DEMONSTRATOR PHYSIOTHERAPY AND TUTOR OCCUPATIONAL -2021 (13-04-2022) </li>",NOTIFICATION ABOUT DOCUMENT VERIFICATION OF DEMONSTRATOR PHYSIOTHERAPY AND TUTOR OCCUPATIONAL -2021 (13-04-2022) ,../pdf/Notifications/NOTI_DV_SCH_DEMOPHY_TO_2021_13042022.pdf
"<li><a href = ""../pdf/Notifications/DV_SCH_DEMOPHY_TO_2021_13042022.pdf"" target ='_' > DOCUMENT VERIFICATION SCHEDULE - DEMONSTRATOR PHYSIOTHERAPY AND TUTOR OCCUPATIONAL -2021</li>",DOCUMENT VERIFICATION SCHEDULE - DEMONSTRATOR PHYSIOTHERAPY AND TUTOR OCCUPATIONAL -2021,../pdf/Notifications/DV_SCH_DEMOPHY_TO_2021_13042022.pdf
"<li><a href = ""../pdf/Notifications/DV_CL_DEMOPHY_TO_2021_13042022.pdf"" target ='_' > DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/DV_CL_DEMOPHY_TO_2021_13042022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_ABOUT_SUBS_EXAMS_HELD_4TH_MAY_2022_29042022.pdf"" target ='_' > NOTIFICATION ABOUT SUBSCRIBER OF EXAMS HELD ON 4TH MAY 2022 (29-04-2022)</li>",NOTIFICATION ABOUT SUBSCRIBER OF EXAMS HELD ON 4TH MAY 2022 (29-04-2022),../pdf/Notifications/NOTI_ABOUT_SUBS_EXAMS_HELD_4TH_MAY_2022_29042022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_INT_SCH_MS_2022_27042022.pdf"" target ='_' > NOTIFICATION FOR INTERVIEW OF MEDICAL SPECIALIST -2022 (27-04-2022)</li>",NOTIFICATION FOR INTERVIEW OF MEDICAL SPECIALIST -2022 (27-04-2022),../pdf/Notifications/NOTI_INT_SCH_MS_2022_27042022.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_MS_2022_27042022.pdf"" target ='_' > INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -MEDICAL SPECIALIST -2022</li>",INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -MEDICAL SPECIALIST -2022,../pdf/Notifications/INT_SCH_MS_2022_27042022.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_MS_2022_27042022.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_MS_2022_27042022.pdf
"<li><a href = ""../pdf/Notifications/EXAM_SCH_HMO_ARTO_TSI_27042022.pdf"" target ='_' > EXAM SCHEDULE - HOMOEOPATHY MEDICAL OFFICER-2022 AND SAHAYAK KSHETRIYA PRIVAHAN ADHIKARI & PARIVAHAN UP NIRIKSHAK (TECH.)-2022 (27-04-2022) </li>",EXAM SCHEDULE - HOMOEOPATHY MEDICAL OFFICER-2022 AND SAHAYAK KSHETRIYA PRIVAHAN ADHIKARI & PARIVAHAN UP NIRIKSHAK (TECH.)-2022 (27-04-2022) ,../pdf/Notifications/EXAM_SCH_HMO_ARTO_TSI_27042022.pdf
"<li><a href = ""../pdf/Notifications/AMEND_Exam_Sch_MO_AG_DSPR_2022_27042022.pdf"" target ='_' > AMENDED EXAM SCHEDULE - MINING OFFICER, ASSISTANT GEOLOGIST-2022 AND DEPUTY SUPERINTENDENT OF POLICE (RADIO)-2022 (27-04-2022) </li>","AMENDED EXAM SCHEDULE - MINING OFFICER, ASSISTANT GEOLOGIST-2022 AND DEPUTY SUPERINTENDENT OF POLICE (RADIO)-2022 (27-04-2022) ",../pdf/Notifications/AMEND_Exam_Sch_MO_AG_DSPR_2022_27042022.pdf
"<li><a href = ""../pdf/Notifications/Exam_Sch_MO_AG_DSPR_2022_06042022.pdf"" target ='_' > EXAM SCHEDULE - MINING OFFICER, ASSISTANT GEOLOGIST-2022 AND DEPUTY SUPERINTENDENT OF POLICE (RADIO)-2022 (06-04-2022) </li>","EXAM SCHEDULE - MINING OFFICER, ASSISTANT GEOLOGIST-2022 AND DEPUTY SUPERINTENDENT OF POLICE (RADIO)-2022 (06-04-2022) ",../pdf/Notifications/Exam_Sch_MO_AG_DSPR_2022_06042022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_ABOUT_AC_EXAMS_HELD_4TH_MAY_2022_26042022.pdf"" target ='_' > NOTIFICATION ABOUT ONLINE ADMIT CARD FOR EXAMS HELD ON 4TH MAY 2022 (26-04-2022)</li>",NOTIFICATION ABOUT ONLINE ADMIT CARD FOR EXAMS HELD ON 4TH MAY 2022 (26-04-2022),../pdf/Notifications/NOTI_ABOUT_AC_EXAMS_HELD_4TH_MAY_2022_26042022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_ABOUT_SUBS_1ST_2ND_MAY_EXAM_22042022.pdf"" target ='_' > NOTIFICATION ABOUT SUBSCRIBER EXAMS HELD ON 1ST AND 2ND MAY 2022 (22-04-2022)</li>",NOTIFICATION ABOUT SUBSCRIBER EXAMS HELD ON 1ST AND 2ND MAY 2022 (22-04-2022),../pdf/Notifications/NOTI_ABOUT_SUBS_1ST_2ND_MAY_EXAM_22042022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_ABOUT_AC_EXAMS_HELD_1ST_2ND_MAY_2022_21042022.pdf"" target ='_' > NOTIFICATION ABOUT ONLINE ADMIT CARD FOR EXAMS HELD ON 1ST AND 2ND MAY 2022 (21-04-2022)</li>",NOTIFICATION ABOUT ONLINE ADMIT CARD FOR EXAMS HELD ON 1ST AND 2ND MAY 2022 (21-04-2022),../pdf/Notifications/NOTI_ABOUT_AC_EXAMS_HELD_1ST_2ND_MAY_2022_21042022.pdf
"<li><a href = ""../pdf/Notifications/Noti_SSME_2021_23032022.pdf"" target ='_' > NOTIFICATION FOR STATE SERVICE (MAINS) EXAM-2021 (23-03-2022)</li>",NOTIFICATION FOR STATE SERVICE (MAINS) EXAM-2021 (23-03-2022),../pdf/Notifications/Noti_SSME_2021_23032022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_SSME_2021_DATE_EXTENSION_08042022.pdf"" target ='_' > DATE EXTENSION NOTIFICATION - ONLINE APPLICATION OF STATE SERVICE (MAINS) EXAM-2021 (08-04-2022)</li>",DATE EXTENSION NOTIFICATION - ONLINE APPLICATION OF STATE SERVICE (MAINS) EXAM-2021 (08-04-2022),../pdf/Notifications/NOTI_SSME_2021_DATE_EXTENSION_08042022.pdf
"<li><a href = ""../pdf/Notifications/EXAM_SCH_ARO_2022_07042022.pdf"" target ='_' > EXAM SCHEDULE - ASSISTANT RESEARCH OFFICER -2022 (07-04-2022) </li>",EXAM SCHEDULE - ASSISTANT RESEARCH OFFICER -2022 (07-04-2022) ,../pdf/Notifications/EXAM_SCH_ARO_2022_07042022.pdf
"<li><a href = ""../pdf/Notifications/NOTIFICATION_INTERVIEW_AD_RDM_2022_06042022.pdf"" target ='_' > NOTIFICATION FOR INTERVIEW OF ASSISTANT DIRECTOR (REVENUE AND DISASTER MANAGEMENT)-2022 (06-04-2022)</li>",NOTIFICATION FOR INTERVIEW OF ASSISTANT DIRECTOR (REVENUE AND DISASTER MANAGEMENT)-2022 (06-04-2022),../pdf/Notifications/NOTIFICATION_INTERVIEW_AD_RDM_2022_06042022.pdf
"<li><a href = ""../pdf/Notifications/NOTIFICATION_INT_APMED_2022_06042022.pdf"" target ='_' > NOTIFICATION FOR INTERVIEW OF ASSISTANT PROFESSOR (MEDICAL EDUCATION DEPT)-2022 (06-04-2022)</li>",NOTIFICATION FOR INTERVIEW OF ASSISTANT PROFESSOR (MEDICAL EDUCATION DEPT)-2022 (06-04-2022),../pdf/Notifications/NOTIFICATION_INT_APMED_2022_06042022.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_AP_MED_2022_24032022.pdf"" target ='_' > INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -ASSISTANT PROFESSOR (MEDICAL EDUCATION DEPT)-2022</li>",INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -ASSISTANT PROFESSOR (MEDICAL EDUCATION DEPT)-2022,../pdf/Notifications/INT_SCH_AP_MED_2022_24032022.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_AP_MED_2022_24032022.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_AP_MED_2022_24032022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_DV_SCH_ADRDM_2022_24032022.pdf"" target ='_' > NOTIFICATION ABOUT DOCUMENT VERIFICATION SCHEDULE OF ASSISTANT DIRECTOR (REVENUE AND DISASTER MANAGEMENT) -2022 (24-03-2022) </li>",NOTIFICATION ABOUT DOCUMENT VERIFICATION SCHEDULE OF ASSISTANT DIRECTOR (REVENUE AND DISASTER MANAGEMENT) -2022 (24-03-2022) ,../pdf/Notifications/NOTI_DV_SCH_ADRDM_2022_24032022.pdf
"<li><a href = ""../pdf/Notifications/DV_SCH_ADRDM_2022_24032022.pdf"" target ='_' > DOCUMENT VERIFICATION SCHEDULE - ASSISTANT DIRECTOR (REVENUE AND DISASTER MANAGEMENT) -2022</li>",DOCUMENT VERIFICATION SCHEDULE - ASSISTANT DIRECTOR (REVENUE AND DISASTER MANAGEMENT) -2022,../pdf/Notifications/DV_SCH_ADRDM_2022_24032022.pdf
"<li><a href = ""../pdf/Notifications/DV_CL_ADRDM_2022_24032022.pdf"" target ='_' > DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD DOCUMENT VERIFICATION CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/DV_CL_ADRDM_2022_24032022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_P1_P2_ADR_SOC_ADPES_29032022.pdf"" target ='_' > IMPORTANT NOTIFICATION FOR PRACHARYA VERG-1 AND VERG2 , ASSISTANT DIRECTOR, RESHAM, SCIENTIFIC OFFICER (CHEMISTRY) AND ASSISTANT DIRECTOR (PLANNING, ECONOMICS & STATISTICS) (29-03-2022) </li>","IMPORTANT NOTIFICATION FOR PRACHARYA VERG-1 AND VERG2 , ASSISTANT DIRECTOR, RESHAM, SCIENTIFIC OFFICER (CHEMISTRY) AND ASSISTANT DIRECTOR (PLANNING, ECONOMICS & STATISTICS) (29-03-2022) ",../pdf/Notifications/NOTI_P1_P2_ADR_SOC_ADPES_29032022.pdf
"<li><a href = ""../pdf/Notifications/Exam_Sch_Pv1_PV2_ADR_SOC_ADPES_17032022.pdf"" target ='_' > EXAM SCHEDULE- PRACHARYA VERG-1 AND VERG2 , ASSISTANT DIRECTOR, RESHAM, SCIENTIFIC OFFICER (CHEMISTRY) AND ASSISTANT DIRECTOR (PLANNING, ECONOMICS & STATISTICS) (17-03-2022) </li>","EXAM SCHEDULE- PRACHARYA VERG-1 AND VERG2 , ASSISTANT DIRECTOR, RESHAM, SCIENTIFIC OFFICER (CHEMISTRY) AND ASSISTANT DIRECTOR (PLANNING, ECONOMICS & STATISTICS) (17-03-2022) ",../pdf/Notifications/Exam_Sch_Pv1_PV2_ADR_SOC_ADPES_17032022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_AR_ADH_LAWH_LAWC_04042022.pdf"" target ='_' > IMPORTANT NOTIFICATION - ASSISTANT DIRECTOR HANDLOOM-2021, LAW OFFICER (HOME -JAIL DEPT)-2021, ASSISTANT REGISTRAR-2022, LAW OFFICER (CGPSC)-2022 (04-04-2022) </li>","IMPORTANT NOTIFICATION - ASSISTANT DIRECTOR HANDLOOM-2021, LAW OFFICER (HOME -JAIL DEPT)-2021, ASSISTANT REGISTRAR-2022, LAW OFFICER (CGPSC)-2022 (04-04-2022) ",../pdf/Notifications/NOTI_AR_ADH_LAWH_LAWC_04042022.pdf
"<li><a href = ""../pdf/Notifications/Exam_Sch_ADH_AR_LOH_LOPSC_17032022.pdf"" target ='_' > EXAM SCHEDULE - ASSISTANT DIRECTOR HANDLOOM-2021, LAW OFFICER (HOME -JAIL DEPT)-2021, ASSISTANT REGISTRAR-2022, LAW OFFICER (CGPSC)-2022 (17-03-2022) </li>","EXAM SCHEDULE - ASSISTANT DIRECTOR HANDLOOM-2021, LAW OFFICER (HOME -JAIL DEPT)-2021, ASSISTANT REGISTRAR-2022, LAW OFFICER (CGPSC)-2022 (17-03-2022) ",../pdf/Notifications/Exam_Sch_ADH_AR_LOH_LOPSC_17032022.pdf
"<li><a href = ""../pdf/Notifications/Caveat_Suchana_UMO_09032022.pdf"" target ='_' > CAVEAT SUCHANA FOR UNANI MEDICAL OFFICER-2022 (09-03-2022)</li>",CAVEAT SUCHANA FOR UNANI MEDICAL OFFICER-2022 (09-03-2022),../pdf/Notifications/Caveat_Suchana_UMO_09032022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_INT_SCH_UMO_2022_07032022.pdf"" target ='_' > NOTIFICATION FOR INTERVIEW OF UNANI MEDICAL OFFICER-2022 (07-03-2022)</li>",NOTIFICATION FOR INTERVIEW OF UNANI MEDICAL OFFICER-2022 (07-03-2022),../pdf/Notifications/NOTI_INT_SCH_UMO_2022_07032022.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_UMO_2022_07032022.pdf"" target ='_' > INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -UNANI MEDICAL OFFICER-2022 </li>",INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -UNANI MEDICAL OFFICER-2022 ,../pdf/Notifications/INT_SCH_UMO_2022_07032022.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_UMO_2022_07032022.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_UMO_2022_07032022.pdf
"<li><a href = ""../pdf/Notifications/CAVEAT_SUCHANA_03032022.pdf"" target ='_' > CAVEAT SUCHANA FOR JUNIOR RESIDENT, SENIOR REGISTRAR, REGISTRAR-2021 & DEMONSTRATOR-2021 (03-03-2022)</li>","CAVEAT SUCHANA FOR JUNIOR RESIDENT, SENIOR REGISTRAR, REGISTRAR-2021 & DEMONSTRATOR-2021 (03-03-2022)",../pdf/Notifications/CAVEAT_SUCHANA_03032022.pdf
"<li><a href = ""../pdf/Notifications/EXAM_SCH_ADH_LOH_AR_LOCGPSC_03032022.pdf"" target ='_' > EXAM SCHEDULE - ASSISTANT DIRECTOR HANDLOOM-2021, LAW OFFICER (HOME -JAIL DEPT)-2021, ASSISTANT REGISTRAR-2022, LAW OFFICER (CGPSC)-2022 (03-03-2022) </li>","EXAM SCHEDULE - ASSISTANT DIRECTOR HANDLOOM-2021, LAW OFFICER (HOME -JAIL DEPT)-2021, ASSISTANT REGISTRAR-2022, LAW OFFICER (CGPSC)-2022 (03-03-2022) ",../pdf/Notifications/EXAM_SCH_ADH_LOH_AR_LOCGPSC_03032022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_INT_SCH_JR_SR_R_DEMO_2021_28022022.pdf"" target ='_' > NOTIFICATION FOR INTERVIEW OF JUNIOR RESIDENT, SENIOR REGISTRAR, REGISTRAR, DEMONSTRATOR-2021 (28-02-2022)</li>","NOTIFICATION FOR INTERVIEW OF JUNIOR RESIDENT, SENIOR REGISTRAR, REGISTRAR, DEMONSTRATOR-2021 (28-02-2022)",../pdf/Notifications/NOTI_INT_SCH_JR_SR_R_DEMO_2021_28022022.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_JR_SR_R_DEMO_2021_28022022.pdf"" target ='_' > INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -JUNIOR RESIDENT, SENIOR REGISTRAR, REGISTRAR, DEMONSTRATOR-2021 </li>","INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -JUNIOR RESIDENT, SENIOR REGISTRAR, REGISTRAR, DEMONSTRATOR-2021 ",../pdf/Notifications/INT_SCH_JR_SR_R_DEMO_2021_28022022.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_JR_SR_R_DEMO_2021_28022022.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_JR_SR_R_DEMO_2021_28022022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_CGFSE_2020_26022022.pdf"" target ='_' > NOTIFICATION - CG FOREST SERVICE (COMBINED) EXAM-2020 (26-02-2022)</li>",NOTIFICATION - CG FOREST SERVICE (COMBINED) EXAM-2020 (26-02-2022),../pdf/Notifications/NOTI_CGFSE_2020_26022022.pdf
"<li><a href = ""../pdf/Notifications/CAVEAT_SUCHANA_24022022.pdf"" target ='_' > CAVEAT SUCHANA FOR SENIOR RESIDENT-2021 (24-02-2022)</li>",CAVEAT SUCHANA FOR SENIOR RESIDENT-2021 (24-02-2022),../pdf/Notifications/CAVEAT_SUCHANA_24022022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_INT_SCH_SR_RESIDENT_2021_18022022.pdf"" target ='_' > NOTIFICATION FOR INTERVIEW OF SENIOR RESIDENT-2021 (18-02-2022)</li>",NOTIFICATION FOR INTERVIEW OF SENIOR RESIDENT-2021 (18-02-2022),../pdf/Notifications/NOTI_INT_SCH_SR_RESIDENT_2021_18022022.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_SR_RESIDENT_2021_18022022.pdf"" target ='_' > INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -SENIOR RESIDENT-2021 </li>",INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -SENIOR RESIDENT-2021 ,../pdf/Notifications/INT_SCH_SR_RESIDENT_2021_18022022.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_SR_RESIDENT_2021_18022022.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_SR_RESIDENT_2021_18022022.pdf
"<li><a href = ""../pdf/Notifications/Exam_Sch_ADR_SOC_ADPES_15022022.pdf"" target ='_' > EXAM SCHEDULE- ASSISTANT DIRECTOR, RESHAM-2021, SCIENTIFIC OFFICER (CHEMISTRY)-2021 AND ASSISTANT DIRECTOR (PLANNING, ECONOMICS & STATISTICS)-2021 (15-02-2022) </li>","EXAM SCHEDULE- ASSISTANT DIRECTOR, RESHAM-2021, SCIENTIFIC OFFICER (CHEMISTRY)-2021 AND ASSISTANT DIRECTOR (PLANNING, ECONOMICS & STATISTICS)-2021 (15-02-2022) ",../pdf/Notifications/Exam_Sch_ADR_SOC_ADPES_15022022.pdf
"<li><a href = ""../pdf/Notifications/Exam_Sch_PV1_PV2_15022022.pdf"" target ='_' > EXAM SCHEDULE (TENTATIVE) - PRACHARYA VERG-1 AND PRACHARYA VERG-2 EXAM-2021 (15-02-2022) </li>",EXAM SCHEDULE (TENTATIVE) - PRACHARYA VERG-1 AND PRACHARYA VERG-2 EXAM-2021 (15-02-2022) ,../pdf/Notifications/Exam_Sch_PV1_PV2_15022022.pdf
"<li><a href = ""../pdf/Notifications/CAVEAT_SUCHANA_14022022.pdf"" target ='_' > CAVEAT SUCHANA FOR DSP (RADIO)-2022, DENTAL SURGEON-2022, ASSISTANT PROFESSOR (MEDICAL EDUCATION DEPT.)-2022, ASSISTANT RESEARCH OFFICER-2022 (14-02-2022)</li>","CAVEAT SUCHANA FOR DSP (RADIO)-2022, DENTAL SURGEON-2022, ASSISTANT PROFESSOR (MEDICAL EDUCATION DEPT.)-2022, ASSISTANT RESEARCH OFFICER-2022 (14-02-2022)",../pdf/Notifications/CAVEAT_SUCHANA_14022022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_FEE_REFUND_SSE2020_11022022.pdf"" target ='_' > NOTIFICATION- FEE REFUND IN STATE SERVICE EAXM-2020 (11-02-2022)</li>",NOTIFICATION- FEE REFUND IN STATE SERVICE EAXM-2020 (11-02-2022),../pdf/Notifications/NOTI_FEE_REFUND_SSE2020_11022022.pdf
"<li><a href = ""../pdf/Notifications/CAVEAT_SUCHANA_10022022.pdf"" target ='_' > CAVEAT SUCHANA FOR MEDICAL SPECIALIST-2021 (10-02-2022)</li>",CAVEAT SUCHANA FOR MEDICAL SPECIALIST-2021 (10-02-2022),../pdf/Notifications/CAVEAT_SUCHANA_10022022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_INT_MED_SPE_2021_09022022.pdf"" target ='_' > NOTIFICATION FOR INTERVIEW OF MEDICAL SPECIALIST-2021 (09-02-2022)</li>",NOTIFICATION FOR INTERVIEW OF MEDICAL SPECIALIST-2021 (09-02-2022),../pdf/Notifications/NOTI_INT_MED_SPE_2021_09022022.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_MED_SPEC_2021_09022022.pdf"" target ='_' > INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -MEDICAL SPECIALIST-2021</li>",INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -MEDICAL SPECIALIST-2021,../pdf/Notifications/INT_SCH_MED_SPEC_2021_09022022.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_MED_SPEC_2021_09022022.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_MED_SPEC_2021_09022022.pdf
"<li><a href = ""../pdf/Notifications/CAVEAT_SUCHANA_08022022.pdf"" target ='_' > CAVEAT SUCHANA FOR VETERINARY ASSISTANT SURGEON-2021 & SAHAYAK JILA LOK ABHIYOJAN ADHIKARI EXAM -2021 (08-02-2022)</li>",CAVEAT SUCHANA FOR VETERINARY ASSISTANT SURGEON-2021 & SAHAYAK JILA LOK ABHIYOJAN ADHIKARI EXAM -2021 (08-02-2022),../pdf/Notifications/CAVEAT_SUCHANA_08022022.pdf
"<li><a href = ""../pdf/Notifications/Noti_SSPE_2021_SEdit_04022022.pdf"" target ='_' > NOTIFICATION FOR SPECIAL EDIT IN ONLINE APPLICATION OF STATE SERVICE (PRELIMS) EXAM-2021 (04-02-2022)</li>",NOTIFICATION FOR SPECIAL EDIT IN ONLINE APPLICATION OF STATE SERVICE (PRELIMS) EXAM-2021 (04-02-2022),../pdf/Notifications/Noti_SSPE_2021_SEdit_04022022.pdf
"<li><a href = ""../pdf/Notifications/Noti_About_AC_SSPE_2021_03022022.pdf"" target ='_' > NOTIFICATION ABOUT ONLINE ADMIT CARD FOR STATE SERVICE (PRELIMS) EXAM-2021 (03-02-2022)</li>",NOTIFICATION ABOUT ONLINE ADMIT CARD FOR STATE SERVICE (PRELIMS) EXAM-2021 (03-02-2022),../pdf/Notifications/Noti_About_AC_SSPE_2021_03022022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_INT_VAS_2021_02022022.pdf"" target ='_' > NOTIFICATION FOR INTERVIEW OF VETERINARY ASSISTANT SURGEON EXAM- 2021 (02-02-2022)</li>",NOTIFICATION FOR INTERVIEW OF VETERINARY ASSISTANT SURGEON EXAM- 2021 (02-02-2022),../pdf/Notifications/NOTI_INT_VAS_2021_02022022.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_VAS_2021_02022022.pdf"" target ='_' > INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -VETERINARY ASSISTANT SURGEON EXAM- 2021 </li>",INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -VETERINARY ASSISTANT SURGEON EXAM- 2021 ,../pdf/Notifications/INT_SCH_VAS_2021_02022022.pdf
"<li><a href = ""../pdf/Notifications/INT_CL_VAS_2021_02022022.pdf"" target ='_' > DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA </li>",DOWNLOAD INTERVIEW CALL LETTER AND REQUIRED PROFORMA ,../pdf/Notifications/INT_CL_VAS_2021_02022022.pdf
"<li><a href = ""../pdf/Notifications/NOTI_INT_ADPPO_2021_02022022.pdf"" target ='_' > NOTIFICATION FOR INTERVIEW OF SAHAYAK JILA LOK ABHIYOJAN ADHIKARI EXAM- 2021 (02-02-2022)</li>",NOTIFICATION FOR INTERVIEW OF SAHAYAK JILA LOK ABHIYOJAN ADHIKARI EXAM- 2021 (02-02-2022),../pdf/Notifications/NOTI_INT_ADPPO_2021_02022022.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_ADPPO_2021_02022022.pdf"" target ='_' > INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -SAHAYAK JILA LOK ABHIYOJAN ADHIKARI EXAM- 2021</li>",INTERVIEW & DOCUMENT VERIFICATION SCHEDULE -SAHAYAK JILA LOK ABHIYOJAN ADHIKARI EXAM- 2021,../pdf/Notifications/INT_SCH_ADPPO_2021_02022022.pdf
